﻿Title,Institution,Profile,Memory,Planning,Action,Capability Acquisition,Social Science,Natural Science,Engineering,Subjective,Objective,Benchmark,Release Time,Publication,Code,Paper
http://gentopia.ai/ : A Collaborative Platform for Tool-Augmented LLMs,,Handcrafting,Hybrid,w/o Feedback,w/ Tools,Prompt Engineering,,,,,Multi-task Evaluation,w/ Benchmark,2023/8/8,arxiv,https://github.com/Gentopia-AI/Gentopia,https://arxiv.org/abs/2308.04030
"Natural-Language Multi-Agent Simulations of 
Argumentative Opinion Dynamics ",Karlsruhe Institute of Technology,,,,,,,,,,,,2021/4/14,JASSS,,https://arxiv.org/pdf/2104.06737.pdf
WebGPT: Browser-assisted question-answering with human feedback,OpenAI,,,,w/ Tools,w/ Fine-tuning,,,,,,w/ Benchmark,2021/12/17,arxiv,,https://arxiv.org/abs/2112.09332
MemPrompt: Memory-assisted Prompt Editing with User Feedback,Carnegie Mellon University,,"Hybrid, Read/Write",w/o Feedback,,Mechanism Engineering,,,,,,w/ Benchmark,2022/1/16,arxiv,https://github.com/madaan/memprompt,https://arxiv.org/abs/2201.06009
Chain-of-Thought Prompting Elicits Reasoningin Large Language Models,"Brain Team, Google Research",,Unified,w/o Feedback,,Mechanism Engineering,,,,,Multi-task Evaluation,w/ Benchmark,2022/1/28,NIPS,,https://proceedings.neurips.cc/paper_files/paper/2022/file/9d5609613524ecf4f15af0f7b31abca4-Paper-Conference.pdf
Self-Consistency Improves Chain of Thought Reasoning in Language Models,"Brain Team, Google Research",,,w/o Feedback,,Prompt Engineering,,,,,,,2022/3/7,ICLR,,https://arxiv.org/abs/2203.11171
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",Google,,,w/o Feedback,w/o Tools,Mechanism Engineering,,,Robotics & Embodied AI,,,,2022/4/4,arxiv,https://say-can.github.io/,https://arxiv.org/pdf/2204.01691.pdf
"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",AI21 Labs,,,w/o Feedback,w/ Tools,,,,,,,,2022/5/1,arxiv,,https://arxiv.org/abs/2205.00445
 TALM: Tool Augmented Language Models ,Google,,,w/o Feedback,w/ Tools,w/ Fine-tuning,,,,,,w/ Benchmark,2022/5/24,arxiv,,https://arxiv.org/abs/2205.12255
"A Neural Network Solves, Explains, and 
Generates University Math Problems by Program 
Synthesis and Few-Shot Learning at Human Level ",Massachusetts Institute of Technology,,Unified,w/o Feedback,w/o Tools,Prompt Engineering,,Science Education,,,,,2022/6/1,PNAS,,https://www.pnas.org/doi/full/10.1073/pnas.2123433119
"A Real-World WebAgent with Planning, Long Context Understanding, and Program Synthesis",Google DeepMind,,,,,,,,,,"Environment Simulation, Multi-task Evaluation",w/ Benchmark,2022/7/4,NIPS,https://webshop-pnlp.github.io/,https://arxiv.org/abs/2307.12856
WebShop: Towards Scalable Real-World Web Interaction with Grounded Language Agents,Princeton University,,Unified,,w/ Tools,,,,,,"Environment Simulation, Multi-task Evaluation",w/ Benchmark,2022/7/4,NIPS,https://github.com/princeton-nlp/WebShop,https://arxiv.org/abs/2207.01206
Inner Monologue: Embodied Reasoning through Planning with Language Models,Google,,,w/ Feedback,w/o Tools,Prompt Engineering,,,Robotics & Embodied AI,,,,2022/7/12,arxiv,https://innermonologue.github.io/,https://arxiv.org/abs/2207.05608
Language Models as Zero-Shot Planners: Extracting Actionable Knowledge for Embodied Agents,UC Berkeley,,,w/o Feedback,w/o Tools,w/ Fine-tuning,,,Robotics & Embodied AI,,,,2022/7/17,ICML,https://github.com/huangwl18/language-planner,https://arxiv.org/pdf/2201.07207.pdf
Social Simulacra: Creating Populated Prototypes for Social Computing Systems ,"Google Research, Stanford University",GPT-Generated,,,w/o Tools,Prompt Engineering,Social Simulation,,,Human Annotation,Social Evaluation,,2022/8/8,UIST,,https://arxiv.org/abs/2208.04024
Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,"Georgia Tech, Microsoft Research, Olin College of Engineering",,,,,,Psychology,,,,Social Evaluation,,2022/8/18,ICML,https://github.com/GatiAher/UsingLarge-Language-Models-to-Replicate-Human-Subject-Studies.,https://arxiv.org/abs/2208.10264
"Out of One, Many: Using Language Models to Simulate Human Samples",Brigham Young University,Dataset alignment,,,w/o Tools,Prompt Engineering,Political Science and Economy,,,Human Annotation,"Multi-task Evaluation, Social Evaluation",,2022/9/14,arxiv,,https://arxiv.org/pdf/2209.06899.pdf
Large Language Models are Few-shot Testers: Exploring LLM-based General Bug Reproduction,Korea Advanced Institute of Science and Technology,,Unified,w/o Feedback,w/ Tools,,,,CS&SE,,Software Testing,w/ Benchmark,2022/9/23,ICSE,,https://arxiv.org/abs/2209.11515
LangChain,,,,,w/ Tools,,,,General Autonomous Agents,,,,2022/10/1,Github,https://docs.langchain.com/docs/,
ReAct: Synergizing Reasoning and Acting in Language Models,Princeton University,,,w/ Feedback,w/ Tools,w/ Fine-tuning,,,,,Environment Simulation,w/ Benchmark,2022/10/6,ICLR,https://github.com/ysymyth/ReAct,https://arxiv.org/abs/2210.03629
Generating Executable Action Plans with Environmentally-Aware Language Models,University of North Carolina,,Unified,w/o Feedback,w/o Tools,Prompt Engineering,,,,,Environment Simulation,,2022/10/10,arxiv,https://github.com/hri-ironlab/scene_aware_language_planner,https://arxiv.org/abs/2210.04964
"Planning with Large Language Models via Corrective 
Re-prompting",Brown University,,Unified,w/o Feedback,,Prompt Engineering,,,,,Environment Simulation,w/ Benchmark,2022/11/17,arxiv,,https://arxiv.org/pdf/2211.09935.pdf
Language Models as Agent Models,Massachusetts Institute of Technology,,,,,,,,,,,,2022/12/3,ENMLP,,https://arxiv.org/abs/2212.01681
Evaluating Human-Language Model Interaction,Stanford University,,,,,,,,,Human Annotation,,,2022/12/19,arxiv,,https://arxiv.org/abs/2212.09746
Memory Augmented Large Language Models are Computationally Universal,"Google Brain, University of Alberta",,Hybrid,,w/o Tools,,,,,,,,2023/1/10,arxiv,,https://arxiv.org/abs/2301.04589
Blind Judgement: Agent-Based Supreme Court Modelling With GPT,McGill University,,,,,w/ Fine-tuning,Jurisprudence,,,,,,2023/1/12,arxiv,,https://arxiv.org/pdf/2301.05327.pdf
"Large Language Models as Simulated Economic Agents: 
What Can We Learn from Homo Silicus?","Massachusetts Institute of Technology, University College London",Handcrafting,,,w/o Tools,,Political Science and Economy,,,,,,2023/1/18,arxiv,,https://arxiv.org/abs/2301.07543
Do Embodied Agents Dream of Pixelated Sheep: Embodied Decision Making using Language Guided World Modelling,"Irvine, UniUniversity of California",,"Hybrid, Read/Write",w/o Feedback,w/o Tools,,,,Robotics & Embodied AI,,Environment Simulation,w/ Benchmark,2023/1/28,ICML,https://github.com/DeckardAgent/deckard,https://arxiv.org/abs/2301.12050
Collaborating with language models for embodied reasoning,DeepMind,,"Hybrid, Read/Write/Reflection",w/ Feedback,w/o Tools,Prompt Engineering,,,Robotics & Embodied AI,,Environment Simulation,,2023/2/1,NIPS,,https://arxiv.org/abs/2302.00763
"Describe, Explain, Plan and Select: Interactive Planning with Large Language Models Enables Open-World Multi-Task Agents ","Peking University, University of California Los Angeles",,Unified,w/ Feedback,w/o Tools,Mechanism Engineering,,,,,Environment Simulation,w/ Benchmark,2023/2/3,arxiv,https://github.com/CraftJarvis/MC-Planner,https://arxiv.org/pdf/2302.01560.pdf
Theory of Mind May Have Spontaneously Emerged in Large Language Models,Stanford University,Handcrafting,,,,,Psychology,,,,,,2023/2/4,arxiv,,https://arxiv.org/abs/2302.02083
Chain of Hindsight Aligns Language Models with Feedback,"Berkeley, University of  California",,,,,Prompt Engineering,,,,Human Annotation,,,2023/2/6,arxiv,,"http://arXiv preprint arXiv:2302.02676, 2023"
Toolformer: Language Models Can Teach Themselves to Use Tools,"Meta AI Research, Universitat Pompeu Fabra",,,w/o Feedback,w/ Tools,w/ Fine-tuning,,,,,,,2023/2/9,arxiv,https://github.com/lucidrains/toolformer-pytorch,https://arxiv.org/abs/2302.04761
ChatGPT and Software Testing Education: Promises & Perils,George Mason University,,,,,w/ Fine-tuning,,,,,Software Testing,,2023/3/11,ICSTW,https://github.com/sajedjalil/ChatGPT-Software-Testing-Study,https://arxiv.org/abs/2302.03287
 ViperGPT: Visual Inference via Python Execution for Reasoning ,Columbia University,,"Hybrid, Read/Write",w/o Feedback,w/ Tools,,,,,,Multi-task Evaluation,w/ Benchmark,2023/3/14,arxiv,https://github.com/cvlab-columbia/viper,https://arxiv.org/abs/2303.08128
Auto-GPT for Online Decision Making: Benchmarks and Additional Opinions,Amazon,,"Hybrid, Read/Write",w/ Feedback,w/ Tools,,,,General Autonomous Agents,,,,2023/3/16,Github,https://github.com/Significant-Gravitas/Auto-GPT,
BIG-AGI,,,,,,w/ Fine-tuning,,,,,,,2023/3/19,Github,https://github.com/enricoros/big-agi,
